C10orf55	TNS1-AS1	AL117329.1	AC010789.1	LINC02672	LINC01537	LINC01940	AL023755.1	AC107419.1	AC011287.1	LINC01436	AC005064.1	CNTFR-AS1	UNC5B-AS1	HOXA11-AS	AC112206.2	LINC01234	PURPL	AC010343.3	LINC01605	AC091182.2	LINC02055	AP003555.1	LINC02688	AP000880.1	TBX5-AS1	RHOXF1-AS1	LINC00930	LINC01269	LINC02820	LINC01711	AC087623.2	AC010913.1	AC009159.3	FP236383.3	AC018865.2	AC092979.2	AL732437.2	condition
20	36	1	1	5	6	19	15	0	30	123	1	1	82	29	11	3	16	10	66	17	24	80	43	4	8	56	26	19	4	58	19	5	40	494	1	5	2	1
10	36	6	3	16	2	0	164	13	624	45	2	4	12	2	30	3	23	13	20	4	7	11	37	5	0	57	55	11	16	22	26	13	19	0	153	7	4	1
14	17	5	1	9	3	2	6	6	6	18	1	0	6	6	190	2	6	12	7	1	10	6	15	1	1	9	18	4	1	14	10	2	8	8	1	105	0	1
14	7	0	0	3	25	0	10	0	5	59	4	3	2	8	6	0	1	9	25	11	7	38	42	5	4	29	102	43	0	25	6	4	24	0	10	1	1	1
11	78	8	0	145	6	4	19	6	14	21	2	2	28	11	12	7	16	6	35	3	41	70	26	0	4	43	176	3	2	18	21	8	13	1	11	5	2	1
7	29	2	0	3	9	1	3	1	0	37	2	1	14	24	3	4	4	2	19	0	11	2	222	1	2	126	80	9	0	31	20	10	13	0	7	0	0	1
80	9	4	0	0	24	1	0	0	1	12	0	3	42	2	2	4	2	10	98	8	23	81	50	4	8	29	3	47	0	98	18	5	18	0	0	1	0	1
22	17	0	8	1	10	4	4	3	1	217	2	0	19	8	3	3	3	7	49	14	1	49	33	1	10	155	8	52	25	43	9	3	19	0	10	0	8	1
19	47	4	2	0	7	12	12	1	610	16	1	3	37	5	4	7	1	5	42	3	7	16	32	1	0	72	46	5	1	57	36	5	12	8	0	5	0	1
8	64	5	48	0	8	32	11	0	57	7	4	3	54	0	17	3	5	3	11	1	12	170	45	0	1	71	66	20	5	16	21	10	28	3	2	5	1	1
39	42	1	2	3	5	19	21	1	20	155	0	4	82	17	5	7	40	17	132	29	14	33	126	2	7	36	6	19	3	59	35	12	19	0	1	7	2	1
7	8	1	0	100	8	110	11	1	7	75	12	0	86	33	9	1	2	2	31	7	6	92	34	3	11	86	13	99	63	35	20	4	9	0	0	1	1	1
17	15	1	0	1	10	0	1	0	0	27	2	2	20	3	14	3	1	2	30	3	5	24	1448	4	61	27	29	6	0	72	15	11	6	1	27	2	1	1
15	5	0	1	0	12	2	5	0	0	16	0	1	12	3	6	14	2	0	24	1	5	24	136	0	10	26	16	52	0	69	15	2	17	0	5	0	1	1
