C10orf55	TNS1-AS1	AL117329.1	AC010789.1	LINC02672	LINC01537	LINC01940	AL023755.1	AC107419.1	AC011287.1	LINC01436	AC005064.1	CNTFR-AS1	UNC5B-AS1	HOXA11-AS	AC112206.2	LINC01234	PURPL	AC010343.3	LINC01605	AC091182.2	LINC02055	AP003555.1	LINC02688	AP000880.1	TBX5-AS1	RHOXF1-AS1	LINC00930	LINC01269	LINC02820	LINC01711	AC087623.2	AC010913.1	AC009159.3	FP236383.3	AC018865.2	AC092979.2	AL732437.2	condition
0.5739	0.4455	0.0065	0.1913	3.139	0.1249	0.238	0.1031	0	0.764	2.1268	0.0481	0.0336	6.5523	2.7663	0.089	6.566	0.039	0.1345	1.6941	0.6049	0.0017	5.9214	0.5839	0.1102	0.0624	0.7523	0.0846	3.7024	0	8.9936	0.9552	0.1663	1.6307	0.1193	0.0319	0	0.1112	1
0.8369	0.3623	0.002	0	1.0082	0.2215	0.0389	0.16	0.01	0	14.8243	0.0996	0	18.8077	3.275	0.0956	0	0.0121	0.0209	1.1589	0.3521	0.0027	2.0982	1.3596	0.057	0.0646	0.8148	0.4961	3.1555	0	3.5079	1.174	0.2817	2.2783	0	0.0165	0.079	0.1727	1
0.2273	0.5547	0.0024	0	0	0.1999	0.0351	0.0385	0.0839	0	0.5452	0	0.0471	2.0202	0.0261	0.0511	0.2629	0.3423	0.6908	1.9573	1.4121	0.008	2.1035	0.486	0.2058	0.0971	1.3233	0.0439	1.1524	0	1.6458	1.338	0.113	1.4719	0	0.0199	0.0475	0.0173	1
1.5975	1.1832	0.0213	0.3137	0.0888	0.2341	0.2877	0.3043	0.0421	0.043	2.5993	0.0526	0	3.4474	0.1375	0.3592	0.0355	0.0768	0.3972	1.3188	0.9922	1.8837	3.1673	2.6651	0.1205	0	1.0331	0.5858	3.0961	0	3.4101	0.914	0.2481	6.598	0.2936	0	32.213	0.9124	1
1.1166	3.0082	0.0209	0.3838	0.2896	0.3341	0.067	0.3309	0.1201	0.3597	2.7892	0.1716	0.0449	1.9845	0.1121	0.1831	0.0193	0.3965	0.5398	3.0728	1.416	0.1605	1.8942	0.7471	0.2948	0.1113	1.7318	0.176	1.1653	0	3.2646	1.0649	0.2427	1.4542	0.4523	0	1.3611	0.0496	1
1.2022	1.2151	0.0205	0.0944	0	0.3875	0.0247	0.3461	0.2027	0.0907	1.1531	0.2217	0.3981	2.9301	0.3311	0.1622	0.0285	0.3235	0.3985	2.6088	1.0454	0.0745	3.5595	0.8775	0.1451	0.1644	1.9696	1.7263	0.7169	4.3242	3.4812	2.3584	0.5077	2.684	18.5597	0	16.5801	0.2564	1
0.7357	1.4546	0.0114	0.2093	0.079	0.1301	0.0731	0.2707	0.0842	0.2918	2.4334	0.0936	0.4165	5.2302	0.3057	0.0799	0.0105	8.6706	0.157	1.5499	1.2133	0.0325	3.0046	1.8517	0.1072	0.1062	1.3016	0.3291	3.0712	0	1.3845	0.871	0.0221	2.4582	0	0.0155	0.8906	0.0541	1
0.0203	0.6946	0.0015	0	0.1266	0.1669	0	0	0.0375	0	0.1463	0	0	0.7228	0.0654	0	0.0084	0.0274	0	0.1007	0	0.006	0.0753	7.7035	0.0429	0	0.7365	0.2308	0.0849	0	0.1585	1.117	0.1945	0.5085	0	0.0249	0.0595	0.0217	1
0.5593	0.6823	0	0	0.4351	0.0956	3.2563	0.0276	0	0.0264	0.2235	0	0	3.3133	0.674	0.0183	0.4257	0	0.0721	3.463	2.2291	0	8.1075	1.871	0.1969	0.1673	0.2813	0.932	4.6695	0	13.5659	1.4934	0.0811	4.3704	0	0.0855	0.1364	0.1491	1
1.4734	1.4743	0.0161	0.2276	0.5152	0.1698	0.0835	7.4179	0.0061	3.2055	4.6049	0.0305	0.0959	2.1184	0.1995	0.7686	0.3574	0.1114	0.2433	2.4328	1.2956	0.0065	3.2474	0.1088	0.1049	0.099	0.5663	0.0626	2.8334	6.1724	5.4209	1.364	0.072	1.2936	0.0284	2.1267	0.7265	0.3001	1
0.7096	0.4947	0.0935	7.4324	6.4147	0.1733	0.0974	0.9012	0.2368	0.8983	1.8636	0.6544	0.0326	37.113	2.5518	0.1994	0.6242	0.2425	0.6534	5.2444	3.379	0.0966	5.0024	1.1098	0.1427	0.0202	4.4871	0.2557	5.078	1.1453	1.1416	5.4909	0.2938	1.1618	0.0193	0.124	1.4828	0.0721	1
0.5576	0.4157	0.0417	0.1703	0	0.2224	0.0223	0.8262	0.0457	0.4264	1.1142	0	0	1.5415	0.0995	0.0366	0.0064	0.0278	0.2396	1.1253	0.2694	0.0183	4.7006	0.6557	0.1963	0.0927	1.6828	1.942	3.7501	0.15	3.0591	2.0561	0.1616	1.3555	0	0	0.1813	0.0991	1
1.3059	3.3404	0.0189	0	0	0.0864	1.244	0.1248	0.1399	0.3733	3.0305	0.0777	0.1627	25.0063	0	0.2818	0.0087	1.1714	0.6843	4.3821	1.2821	1.3701	20.8924	1.3837	0	0.0252	2.7547	0.0911	2.8137	0.408	7.7729	1.0606	0.4762	3.0285	0	0.5927	0.493	0.1347	1
0.4474	1.569	0.0042	1.0762	1.5662	0.2868	0.2417	0	0.0206	0	2.95	0	0	4.174	0.6739	0.088	0.4411	0	0.3893	4.4318	0.7294	0.0055	3.3113	2.2448	0.3543	0.0335	0.1688	0.2115	0.9337	1.083	11.6257	0.6399	0.0972	1.2235	0	0.3079	0	0.1789	1
